DriverName,AvgFinishPosition,MedianFinishPosition,BestFinish,AvgGridPosition,TotalPoints,AvgPointsPerRace,RacesCompleted
Alexander Albon,12.681159420289855,12.0,5,12.405797101449275,100.0,1.4492753623188406,69
Andrea Kimi Antonelli,4.0,4.0,4,16.0,12.0,12.0,1
Carlos Sainz,8.338235294117647,6.0,1,7.632352941176471,499.0,7.338235294117647,68
Charles Leclerc,6.114285714285714,4.0,1,5.414285714285715,744.0,10.628571428571428,70
Daniel Ricciardo,13.44,13.0,7,14.08,12.0,0.48,25
Esteban Ocon,12.898550724637682,13.0,2,13.072463768115941,103.0,1.4927536231884058,69
Fernando Alonso,9.842857142857143,9.0,2,9.128571428571428,312.0,4.457142857142857,70
Franco Colapinto,15.407407407407407,16.0,8,14.962962962962964,5.0,0.18518518518518517,27
Gabriel Bortoleto,14.666666666666666,16.0,6,14.416666666666666,17.0,0.7083333333333334,24
George Russell,6.0,5.0,1,6.285714285714286,689.0,9.842857142857143,70
Guanyu Zhou,15.152173913043478,15.0,8,16.76086956521739,6.0,0.13043478260869565,46
Isack Hadjar,12.166666666666666,11.0,3,10.333333333333334,44.0,1.8333333333333333,24
Jack Doohan,16.142857142857142,15.0,14,12.0,0.0,0.0,7
Kevin Magnussen,14.477272727272727,15.0,7,13.409090909090908,17.0,0.38636363636363635,44
Kimi Antonelli,9.695652173913043,8.0,2,8.608695652173912,126.0,5.478260869565218,23
Lance Stroll,12.720588235294118,12.5,5,13.205882352941176,108.0,1.588235294117647,68
Lando Norris,5.171428571428572,3.0,1,5.285714285714286,932.0,13.314285714285715,70
Lewis Hamilton,6.857142857142857,6.0,1,8.142857142857142,569.0,8.128571428571428,70
Liam Lawson,13.028571428571428,14.0,5,12.485714285714286,43.0,1.2285714285714286,35
Logan Sargeant,16.38888888888889,17.0,11,16.666666666666668,0.0,0.0,36
Max Verstappen,2.8857142857142857,1.0,1,3.342857142857143,1310.0,18.714285714285715,70
Nico Hulkenberg,13.028571428571428,13.5,3,12.785714285714286,83.0,1.1857142857142857,70
Nyck De Vries,15.5,14.5,12,17.1,0.0,0.0,10
Oliver Bearman,11.555555555555555,11.0,4,13.481481481481481,41.0,1.5185185185185186,27
Oscar Piastri,6.5,5.0,1,6.242857142857143,734.0,10.485714285714286,70
Pierre Gasly,12.714285714285714,13.0,3,12.528571428571428,106.0,1.5142857142857142,70
Sergio Perez,7.913043478260869,6.0,1,9.478260869565217,393.0,8.543478260869565,46
Valtteri Bottas,15.217391304347826,16.0,8,15.543478260869565,9.0,0.1956521739130435,46
Yuki Tsunoda,13.114285714285714,13.0,6,12.17142857142857,56.0,0.8,70
